Irms1,Irms2,Irms3,
0.226313,0.226402,0.226715,
0.226677,0.227875,0.227500,
0.229341,0.229797,0.229406,
0.224770,0.225171,0.225972,
0.223001,0.223451,0.223114,
0.232130,0.232770,0.232659,
0.225757,0.225079,0.224867,
0.227159,0.226827,0.226455,
0.226544,0.226258,0.227449,
0.229135,0.230003,0.228471,
0.224665,0.225232,0.224947,
0.224359,0.224720,0.223727,
0.233145,0.231525,0.232508,
0.225054,0.224795,0.225230,
0.224524,0.224048,0.224881,
0.232196,0.231596,0.232648,
0.223771,0.223855,0.224469,
0.226008,0.225619,0.226037,
0.229212,0.228698,0.229734,
0.229904,0.229055,0.229617,
0.225783,0.225359,0.226023,
0.224113,0.223363,0.224153,
0.232405,0.231175,0.233172,
0.223221,0.223542,0.223609,
0.226074,0.224869,0.224822,
0.231220,0.230517,0.230378,
0.227689,0.227228,0.226541,
0.226087,0.227220,0.227416,
0.223907,0.224395,0.224421,
0.232363,0.232742,0.232135,
0.224113,0.224675,0.223457,
0.225286,0.225112,0.225636,
0.231102,0.230835,0.230181,
0.228201,0.227543,0.227283,
0.227243,0.227122,0.226640,
0.224479,0.226104,0.224930,
0.230755,0.230816,0.229148,
0.223611,0.224466,0.224831,
0.224747,0.224779,0.224083,
0.232032,0.233393,0.233574,
0.225796,0.224311,0.224789,
0.225327,0.224883,0.225534,
0.230957,0.231267,0.231598,
0.225066,0.225458,0.224953,
0.225311,0.225419,0.224613,
0.228397,0.228322,0.228955,
0.227877,0.228469,0.228879,
0.227422,0.226861,0.226355,
0.224649,0.226413,0.225859,
0.231954,0.231003,0.231123,
0.223074,0.225659,0.224532,
0.224343,0.222801,0.224150,
0.231903,0.232308,0.232081,
0.224342,0.224175,0.223963,
0.226322,0.225596,0.225676,
0.229639,0.230462,0.230192,
0.226947,0.226333,0.226773,
0.226102,0.225006,0.226241,
0.227083,0.226711,0.227322,
0.230593,0.229697,0.229104,
0.226582,0.225218,0.225737,
0.224704,0.224552,0.225388,
0.230980,0.231181,0.231559,
0.224946,0.224115,0.222974,
0.223404,0.224137,0.223883,
0.231837,0.233236,0.232373,
0.225985,0.223963,0.224023,
0.226031,0.226812,0.226361,
0.228487,0.226778,0.228410,
0.229173,0.227686,0.228288,
0.225667,0.225685,0.225571,
0.224639,0.224869,0.224241,
0.231999,0.231528,0.231198,
0.225605,0.225299,0.225070,
0.223938,0.224775,0.224330,
0.233170,0.233331,0.232415,
0.223684,0.223399,0.223771,
0.224668,0.225113,0.225116,
0.230120,0.229243,0.230467,
0.226472,0.226643,0.225597,
0.226642,0.227740,0.226982,
0.227280,0.228080,0.227175,
0.230037,0.229452,0.229453,
0.224834,0.225059,0.224408,
0.223045,0.224054,0.224351,
0.232641,0.231459,0.232289,
0.226040,0.224918,0.225204,
0.226527,0.226424,0.227637,
0.227211,0.226864,0.227319,
0.231950,0.229760,0.229962,
0.225034,0.225029,0.224582,
0.223271,0.224033,0.224242,
0.232348,0.233100,0.231848,
0.224917,0.224166,0.224642,
0.226826,0.226875,0.226007,
0.228967,0.230219,0.229300,
0.227602,0.227084,0.227856,
0.226191,0.225323,0.225345,
0.224449,0.223987,0.226489,
0.232486,0.231615,0.231988,
0.225792,0.225140,0.225126,
0.223560,0.224315,0.225227,
0.231829,0.231891,0.232722,
0.224349,0.223844,0.222774,
0.226046,0.225964,0.226193,
0.228049,0.227606,0.227939,
0.230009,0.229087,0.228377,
0.226491,0.225483,0.225769,
0.223472,0.224306,0.224413,
0.232041,0.231878,0.232788,
0.224795,0.224739,0.223852,
0.226221,0.225460,0.225845,
0.225839,0.226444,0.225541,
0.232065,0.231097,0.230711,
0.224133,0.224799,0.225180,
0.224416,0.224240,0.225135,
0.231643,0.231167,0.231902,
0.225507,0.226015,0.225784,
0.225513,0.225900,0.225690,
0.225547,0.225784,0.225921,
0.230586,0.231775,0.231129,
0.224927,0.225076,0.224532,
0.224807,0.223911,0.223590,
0.231540,0.231132,0.231533,
0.224187,0.226047,0.225160,
0.226715,0.224394,0.225336,
0.224890,0.225809,0.226351,
0.231382,0.230530,0.230603,
0.225150,0.225808,0.225971,
0.222409,0.223120,0.223945,
0.231987,0.232448,0.232462,
0.224658,0.224073,0.223428,
0.225947,0.226485,0.224611,
0.226415,0.226696,0.227207,
0.229325,0.229460,0.229601,
0.225634,0.225215,0.225878,
0.224197,0.223373,0.224241,
0.232992,0.232511,0.233614,
